,0
0,411
1,16
2,134
3,474
4,232
5,487
6,94
7,188
8,323
9,426
10,466
11,41
12,60
13,37
14,540
15,189
16,180
17,570
18,448
19,268
20,245
21,139
22,577
23,270
24,525
25,196
26,336
27,12
28,559
29,248
30,445
31,285
32,468
33,506
34,183
35,246
36,430
37,131
38,225
39,481
40,315
41,133
42,345
43,200
44,114
45,3
46,181
47,390
48,2
49,146
50,483
51,151
52,585
53,475
54,355
55,230
56,366
57,361
58,184
59,217
60,379
61,530
62,88
63,81
64,145
65,563
66,32
67,339
68,342
69,550
70,482
71,425
72,62
73,240
74,0
75,51
76,440
77,486
78,354
79,470
80,63
81,176
82,369
83,61
84,78
85,45
86,175
87,237
88,55
89,174
90,214
91,54
92,571
93,314
94,423
95,80
96,233
97,253
98,496
99,551
100,243
101,52
102,437
103,372
104,574
105,73
106,549
107,276
108,201
109,127
110,473
111,436
112,358
113,271
114,132
115,111
116,43
117,102
118,192
119,485
120,7
121,126
122,121
123,93
124,84
125,332
126,274
127,273
128,166
129,400
130,44
131,539
132,227
133,547
134,505
135,521
136,414
137,85
138,159
139,480
140,15
141,416
142,364
143,86
144,89
145,331
146,500
147,419
148,378
149,497
150,433
151,343
152,431
153,9
154,263
155,508
156,451
157,511
158,450
159,177
160,53
161,279
162,537
163,234
164,579
165,242
166,412
167,117
168,208
169,70
170,446
171,289
172,11
173,130
174,109
175,383
176,405
177,424
178,169
179,298
180,583
181,179
182,28
183,4
184,296
185,384
186,421
187,136
188,346
189,324
190,569
191,282
192,138
193,512
194,469
195,447
196,191
197,1
198,194
199,471
200,281
201,427
202,351
203,504
204,79
205,546
206,501
207,171
208,418
209,107
210,99
211,283
212,586
213,560
214,516
215,317
216,203
217,294
218,195
219,353
220,380
221,399
222,545
223,229
224,587
225,326
226,573
227,124
228,76
229,305
230,262
231,269
232,241
233,259
234,8
235,97
236,422
237,499
238,251
239,349
240,98
241,533
242,231
243,95
244,478
245,404
246,198
247,417
248,48
249,306
250,256
251,300
252,322
253,403
254,143
255,249
256,476
257,311
258,104
259,333
260,584
261,206
262,513
263,542
264,313
265,103
266,265
267,444
268,65
269,531
270,261
271,31
272,165
273,319
274,394
275,255
276,25
277,236
278,210
279,150
280,293
281,153
282,211
283,187
284,581
285,141
286,202
287,352
288,477
289,13
290,34
291,413
292,112
293,221
294,10
295,101
296,309
297,327
298,406
299,432
300,46
301,244
302,312
303,316
304,522
305,556
306,367
307,523
308,543
309,307
310,33
311,491
312,350
313,290
314,264
315,160
316,168
317,328
318,465
319,460
320,347
321,286
322,292
323,509
324,387
325,66
326,532
327,308
328,36
329,382
330,226
331,439
332,318
333,536
334,213
335,122
336,247
337,348
338,42
339,534
340,397
341,538
342,178
343,19
344,434
345,278
346,576
347,252
348,258
349,337
350,250
351,467
352,29
353,24
354,6
355,40
356,209
357,410
358,105
359,320
360,162
361,115
362,39
363,96
364,116
365,362
366,524
367,484
368,458
369,267
370,429
371,186
372,580
373,356
374,452
375,330
376,438
377,30
378,302
379,163
380,128
381,239
382,510
383,50
384,338
385,87
386,120
387,459
388,555
389,137
390,155
391,287
392,565
393,443
394,106
395,135
396,489
397,371
398,498
399,363
400,58
401,341
402,67
403,64
404,567
405,548
406,140
407,82
408,398
409,284
410,561
411,218
412,428
413,205
414,212
415,552
416,515
417,368
418,91
419,108
420,129
421,26
422,553
423,435
424,161
425,18
426,275
427,49
428,568
429,377
430,334
431,575
432,197
433,223
434,110
435,544
436,228
437,22
438,566
439,100
440,502
441,47
442,113
443,158
444,388
445,588
446,493
447,463
448,472
449,142
450,57
451,266
452,454
453,370
454,344
455,507
456,375
457,395
458,303
459,164
460,14
461,488
462,148
463,38
464,407
465,495
466,72
467,325
468,441
469,562
470,503
471,415
